Date,HomeTeam,AwayTeam,FTR,HomeTeamShotTargetLast20,HomeTeamRatingLast20,AwayTeamShotTargetLast20,AwayTeamRatingLast20,HomeTeamWin%H2HLast10,AwayTeamWin%H2HLast10
2016-03-01,Leicester,West Brom,D,91,23,57,15.4,66.66666667,33.33333333
2016-03-01,Norwich,Chelsea,A,58,8.2,84,18.1,0,77.77777778
2016-03-01,Sunderland,Crystal Palace,D,75,11.7,77,8.1,40,40
2016-03-02,Arsenal,Swansea,A,96,18.7,60,10.5,44.44444444,44.44444444
2016-03-02,Liverpool,Man City,H,101,16,107,16.4,40,30
2016-03-02,Man United,Watford,H,76,15.7,66,14.6,100,0
2016-03-02,Stoke,Newcastle,H,66,16.8,83,11.7,40,40
2016-03-02,West Ham,Tottenham,H,93,17.2,143,25.4,30,50
2016-03-05,Chelsea,Stoke,D,83,20.1,63,18.4,60,20
2016-03-05,Everton,West Ham,A,98,15.6,90,18.7,60,0
2016-03-05,Man City,Aston Villa,H,101,15.5,64,7.9,70,20
2016-03-05,Newcastle,Bournemouth,A,81,10.4,83,14.9,100,0
2016-03-05,Southampton,Sunderland,D,76,16.1,78,11.4,40,20
2016-03-05,Swansea,Norwich,H,60,12.4,58,7.3,14.28571429,57.14285714
2016-03-05,Tottenham,Arsenal,D,134,23.5,95,16.8,30,40
2016-03-05,Watford,Leicester,A,67,13.1,91,22.2,0,100
2016-03-06,Crystal Palace,Liverpool,A,74,7.8,96,17.2,57.14285714,28.57142857
2016-03-06,West Brom,Man United,H,58,15.2,74,17.3,20,60
2016-03-12,Bournemouth,Swansea,H,87,17,61,14.7,0,0
2016-03-12,Norwich,Man City,D,55,6.7,99,16.2,11.11111111,66.66666667
2016-03-12,Stoke,Southampton,A,66,17.5,75,15.7,28.57142857,14.28571429
2016-03-13,Aston Villa,Tottenham,A,64,7,141,22.2,10,80
2016-03-14,Leicester,Newcastle,H,91,22.6,80,9.5,22.22222222,44.44444444
2016-03-19,Chelsea,West Ham,D,87,19.3,91,20.2,70,20
2016-03-19,Crystal Palace,Leicester,A,77,7.1,89,24,66.66666667,33.33333333
2016-03-19,Everton,Arsenal,A,102,14.4,93,15.9,10,50
2016-03-19,Swansea,Aston Villa,H,61,13.4,63,6.7,55.55555556,11.11111111
2016-03-19,Watford,Stoke,A,70,11.8,67,16.1,100,0
2016-03-19,West Brom,Norwich,A,59,16.7,52,6.8,44.44444444,44.44444444
2016-03-20,Man City,Man United,A,91,16.3,68,15.9,60,30
2016-03-20,Newcastle,Sunderland,D,76,8.3,79,11.6,10,60
2016-03-20,Southampton,Liverpool,H,76,17.3,97,19,40,50
2016-03-20,Tottenham,Bournemouth,H,140,23.4,88,18.5,100,0
2016-04-02,Arsenal,Watford,H,91,17.3,71,10.4,100,0
2016-04-02,Aston Villa,Chelsea,A,63,5.8,88,19,20,70
2016-04-02,Bournemouth,Man City,A,86,17.3,92,14,0,100
2016-04-02,Liverpool,Tottenham,D,103,17.2,142,24.1,50,30
2016-04-02,Norwich,Newcastle,H,50,9.2,76,8.4,22.22222222,44.44444444
2016-04-02,Stoke,Swansea,D,71,17.4,59,15.4,44.44444444,33.33333333
2016-04-02,Sunderland,West Brom,D,80,11.3,55,15.4,10,60
2016-04-02,West Ham,Crystal Palace,D,92,19.5,77,6,40,60
2016-04-03,Leicester,Southampton,H,87,24.2,79,18.9,22.22222222,33.33333333
2016-04-03,Man United,Everton,H,70,17.2,101,13,50,40
